Gamma,F1 Score,Accuracy,Threshold
0.01,0.37111957955559716,0.842696329593722,0.1515151515151516
0.016681005372000592,0.3779393313044476,0.8448258128416601,0.16363636363636372
0.027825594022071243,0.38577932824179323,0.8556789394487725,0.17979797979797985
0.046415888336127774,0.3945011614303097,0.8601398068608217,0.18787878787878798
0.0774263682681127,0.40156339932931234,0.8596369592960134,0.18787878787878792
0.1291549665014884,0.40784358455806535,0.8633740309708386,0.19191919191919204
0.21544346900318834,0.41342695037885424,0.8662501666634921,0.19595959595959603
0.3593813663804626,0.41680137289231023,0.8674349060017905,0.19595959595959606
0.48,0.4202591000548136,0.8669549151444734,0.19191919191919204
0.5994842503189409,0.41596194775043716,0.8714157825565227,0.07070707070707072
0.7,0.42018869907831036,0.8705205615131142,0.3898989898989901
1.0,0.3667851350096986,0.7105845602940896,0.15555555555555567
