Degree,Training Loss,Validation Loss,F1 Score,Accuracy,Threshold,Weights Norm
1,0.1448278618376934,0.14484879282859298,0.35571304603747445,0.8432258433172702,-0.6808080808080806,0.007059839185199533
2,0.14420596559715687,0.14425318763226974,0.36204162951121627,0.8371688158320794,-0.6727272727272726,0.006349735049419132
3,0.14333584150293938,0.1434106378874314,0.3618904406330826,0.8435877411858822,-0.6565656565656566,0.005782507463371244
5,0.14367259459612983,0.14386124768504369,0.36128404185389795,0.8357174149063826,-0.6484848484848484,0.004898247142524316
7,0.14334086985912883,0.14338734983200493,0.35971733263711225,0.8335726938534505,-0.6444444444444444,0.0042685394523226845
